,onset,offset,story,word,lemma,PoS_tag_full
2234,284.42,285.04,forgot,prayers,prayers,NNS
2235,285.67,285.89000000000004,forgot,so,so,RB
2236,285.889999,286.049999,forgot,he,he,PRP
2237,286.049999,286.539999,forgot,said,say,VBD
2238,287.35,287.94,forgot,god,god,NN
2239,288.190001,288.310001,forgot,who,who,WP
2240,288.31,288.59,forgot,knows,know,NNS
2241,288.59,288.78,forgot,all,all,DT
2242,288.79,289.33000000000004,forgot,things,things,NNS
2243,290.37,290.5,forgot,i,I,PRP
2244,290.5,290.67,forgot,have,have,VB
2245,290.67,290.82,forgot,no,no,DT
2246,290.82,291.08,forgot,prayer,prayer,NN
2247,291.08,291.51,forgot,book,book,NN
2248,291.64,291.9,forgot,and,and,CC
2249,291.9,291.96,forgot,i,I,PRP
2250,291.96,292.12,forgot,do,do,VB
2251,292.12,292.28000000000003,forgot,not,not,RB
2252,292.28,292.41,forgot,know,know,VB
2253,292.41,292.59000000000003,forgot,any,any,DT
2254,292.6,292.96000000000004,forgot,prayers,prayers,NNS
2255,292.96,293.12,forgot,by,by,IN
2256,293.12,293.64,forgot,heart,heart,NN
2257,294.07,294.25,forgot,but,but,CC
2258,294.26,294.49,forgot,you,you,PRP
2259,294.5,294.8,forgot,know,know,VB
2260,294.82,295.04,forgot,all,all,DT
2261,295.05,295.17,forgot,the,the,DT
2262,295.17,295.98,forgot,prayers,prayers,NNS
2263,297.02,297.22,forgot,you,you,PRP
2264,297.22,297.28000000000003,forgot,are,be,VBP
2265,297.28,297.78,forgot,god,god,NN
2266,299.21,299.41,forgot,so,so,RB
2267,299.42,299.61,forgot,this,this,DT
2268,299.61,299.75,forgot,is,be,VBZ
2269,299.75,299.91,forgot,what,what,WP
2270,299.91,300.04,forgot,i'm,I'm,NN
2271,300.04,300.27000000000004,forgot,going,go,VBG
2272,300.27,300.39,forgot,to,to,TO
2273,300.389999,300.699999,forgot,do,do,VB
2274,301.61,301.84000000000003,forgot,i'm,I'm,NN
2275,301.84,302.04,forgot,gonna,gonna,NN
2276,302.04,302.23,forgot,say,say,VB
2277,302.23,302.35,forgot,the,the,DT
2278,302.349999,303.059999,forgot,alphabet,alphabet,NN
2279,303.62,303.73,forgot,and,and,CC
2280,303.73,303.78000000000003,forgot,i,I,PRP
2281,303.78,303.91,forgot,will,will,MD
2282,303.91,304.04,forgot,let,let,VB
2283,304.039999,304.27999900000003,forgot,you,you,PRP
2284,304.299999,304.45999900000004,forgot,put,put,NN
2285,304.459999,304.549999,forgot,the,the,DT
2286,304.549999,304.89999900000004,forgot,words,word,NNS
2287,304.9,305.36,forgot,together,together,RB
2288,309.12,309.26,forgot,there,there,RB
2289,309.26,309.34,forgot,are,be,VBP
2290,309.34,309.67999999999995,forgot,things,things,NNS
2291,309.68,310.07,forgot,missing,miss,VBG
2292,310.07,310.24,forgot,from,from,IN
2293,310.24,310.39,forgot,my,my,PRP$
2294,310.39,310.73,forgot,mind,mind,NN
2295,,,forgot,and,and,CC
2296,310.83,310.93,forgot,it,it,PRP
2297,310.94,311.35,forgot,scares,scar,NNS
2298,311.38,311.59,forgot,me,me,PRP
2299,312.69,313.4,forgot,icarus,,
2300,313.83,314.05,forgot,it's,it's,NN
2301,314.05,314.18,forgot,not,not,RB
2302,314.179999,314.259999,forgot,as,as,IN
2303,314.26,314.4,forgot,if,if,IN
2304,314.4,314.48999999999995,forgot,i,I,PRP
2305,314.52,314.97,forgot,forgotten,forget,NNS
2306,314.97,315.15000000000003,forgot,all,all,DT
